total_trades,win_rate,return_pct,profit_factor,total_pnl,consensus,stop_loss,take_profit,rr_ratio,score
1128,39.8,8.87,1.64,887.39,0.25,0.01,0.02,2.0,24.575
840,30.71,2.6,2.32,260.02,0.25,0.01,0.03,3.0,22.113
646,28.33,12.14,2.97,1214.1,0.25,0.01,0.04,4.0,29.419
517,23.4,7.24,3.66,723.72,0.25,0.01,0.05,5.0,28.94
444,20.27,5.27,4.31,526.72,0.25,0.01,0.06,6.0,30.266
860,46.05,6.42,1.25,642.01,0.25,0.015,0.02,1.33,23.275
651,37.17,3.26,1.76,326.14,0.25,0.015,0.03,2.0,21.581
488,32.79,6.11,2.24,610.87,0.25,0.015,0.04,2.67,24.092
400,28.5,7.43,2.84,742.91,0.25,0.015,0.05,3.33,26.464999999999996
352,25.28,5.19,3.24,518.62,0.25,0.015,0.06,4.0,26.379000000000005
504,43.65,5.83,1.4,582.92,0.25,0.02,0.03,1.5,23.009999999999998
396,40.66,13.9,1.8,1390.49,0.25,0.02,0.04,2.0,28.148
325,32.62,4.08,2.22,408.43,0.25,0.02,0.05,2.5,22.926000000000002
281,29.54,5.23,2.64,523.31,0.25,0.02,0.06,3.0,24.677
416,49.76,8.18,1.14,817.97,0.25,0.025,0.03,1.2,24.718
334,42.81,5.93,1.47,593.41,0.25,0.025,0.04,1.6,23.158
278,40.65,12.65,1.83,1265.19,0.25,0.025,0.05,2.0,27.67
236,34.32,5.98,2.15,597.72,0.25,0.025,0.06,2.4,24.036
295,47.12,7.95,1.28,795.24,0.25,0.03,0.04,1.33,24.511000000000003
248,41.94,6.84,1.57,683.78,0.25,0.03,0.05,1.67,23.852
210,40.0,10.43,1.85,1042.57,0.25,0.03,0.06,2.0,26.465
1055,39.15,5.25,1.64,524.77,0.5,0.01,0.02,2.0,22.57
770,30.91,4.41,2.36,441.02,0.5,0.01,0.03,3.0,23.278
632,25.16,0.98,3.02,97.5,0.5,0.01,0.04,4.0,23.137999999999998
521,22.65,4.69,3.68,469.03,0.5,0.01,0.05,5.0,27.54
437,20.59,5.87,4.28,586.95,0.5,0.01,0.06,6.0,30.512
824,47.57,9.95,1.23,995.23,0.5,0.015,0.02,1.33,25.396
609,38.26,5.91,1.74,590.89,0.5,0.015,0.03,2.0,23.133
496,33.87,9.08,2.22,907.59,0.5,0.015,0.04,2.67,25.801000000000002
408,28.19,4.37,2.73,436.84,0.5,0.015,0.05,3.33,24.292
341,25.81,5.55,3.18,555.29,0.5,0.015,0.06,4.0,26.418
483,42.86,2.83,1.39,283.45,0.5,0.02,0.03,1.5,21.223
384,37.76,5.6,1.8,560.4,0.5,0.02,0.04,2.0,23.128
328,31.71,0.69,2.18,68.76,0.5,0.02,0.05,2.5,20.758000000000003
271,31.0,8.3,2.62,829.92,0.5,0.02,0.06,3.0,26.55
402,44.03,-7.18,1.14,-718.17,0.5,0.025,0.03,1.2,15.318999999999999
324,40.43,-0.23,1.47,-22.73,0.5,0.025,0.04,1.6,19.363999999999997
282,37.59,4.26,1.79,425.67,0.5,0.025,0.05,2.0,22.357
232,35.34,8.28,2.16,828.12,0.5,0.025,0.06,2.4,25.542
280,46.79,4.58,1.23,458.25,0.5,0.03,0.04,1.33,22.476999999999997
238,42.86,7.39,1.53,738.71,0.5,0.03,0.05,1.67,24.202999999999996
200,37.5,3.84,1.81,384.02,0.5,0.03,0.06,2.0,22.22
229,35.37,0.2,1.85,20.35,0.75,0.01,0.02,2.0,19.961
208,31.73,4.24,2.62,424.49,0.75,0.01,0.03,3.0,24.739
199,28.14,4.97,3.19,497.14,0.75,0.01,0.04,4.0,26.877
184,23.37,3.34,3.82,334.42,0.75,0.01,0.05,5.0,27.781
159,18.87,0.97,4.52,97.19,0.75,0.01,0.06,6.0,28.746
212,45.75,2.51,1.32,251.31,0.75,0.015,0.02,1.33,21.580000000000002
190,38.42,3.76,1.87,376.1,0.75,0.015,0.03,2.0,22.756
176,33.52,3.83,2.32,383.16,0.75,0.015,0.04,2.67,23.570999999999998
162,29.63,3.87,2.79,386.94,0.75,0.015,0.05,3.33,24.774
143,26.57,4.26,3.34,426.01,0.75,0.015,0.06,4.0,26.801
178,44.38,3.87,1.45,386.91,0.75,0.02,0.03,1.5,22.499000000000002
162,38.89,4.01,1.83,400.8,0.75,0.02,0.04,2.0,22.822000000000003
149,34.23,3.19,2.17,319.05,0.75,0.02,0.05,2.5,22.714
133,30.83,3.79,2.61,379.25,0.75,0.02,0.06,3.0,24.193999999999996
165,50.3,4.83,1.18,483.21,0.75,0.025,0.03,1.2,23.404999999999998
148,43.24,3.15,1.47,314.97,0.75,0.025,0.04,1.6,21.897
133,36.09,0.01,1.77,0.84,0.75,0.025,0.05,2.0,19.682000000000002
120,34.17,2.29,2.11,229.11,0.75,0.025,0.06,2.4,21.945999999999998
138,45.65,2.74,1.32,273.7,0.75,0.03,0.04,1.33,21.665
125,40.0,1.2,1.57,119.95,0.75,0.03,0.05,1.67,20.45
114,35.09,0.42,1.88,42.1,0.75,0.03,0.06,2.0,20.137
2,100.0,0.49,0.0,48.8,1.0,0.01,0.02,2.0,30.245
2,50.0,0.19,2.66,19.19,1.0,0.01,0.03,3.0,28.395000000000003
2,50.0,0.46,4.95,45.67,1.0,0.01,0.04,4.0,39.980000000000004
2,50.0,0.46,4.95,45.67,1.0,0.01,0.05,5.0,39.980000000000004
2,50.0,0.51,5.38,50.52,1.0,0.01,0.06,6.0,42.155
2,100.0,0.49,0.0,48.8,1.0,0.015,0.02,1.33,30.245
2,50.0,0.15,1.91,14.65,1.0,0.015,0.03,2.0,24.625
2,50.0,0.41,3.56,41.13,1.0,0.015,0.04,2.67,33.005
2,50.0,0.41,3.56,41.13,1.0,0.015,0.05,3.33,33.005
2,50.0,0.46,3.86,45.99,1.0,0.015,0.06,4.0,34.53
2,50.0,-0.02,0.93,-2.19,1.0,0.02,0.03,1.5,19.64
2,50.0,0.24,1.74,24.29,1.0,0.02,0.04,2.0,23.82
2,50.0,0.24,1.74,24.29,1.0,0.02,0.05,2.5,23.82
2,50.0,0.29,1.88,29.14,1.0,0.02,0.06,3.0,24.544999999999998
2,50.0,-0.02,0.93,-2.19,1.0,0.025,0.03,1.2,19.64
2,50.0,0.24,1.74,24.29,1.0,0.025,0.04,1.6,23.82
2,50.0,0.24,1.74,24.29,1.0,0.025,0.05,2.0,23.82
2,50.0,0.29,1.88,29.14,1.0,0.025,0.06,2.4,24.544999999999998
2,50.0,0.24,1.74,24.29,1.0,0.03,0.04,1.33,23.82
2,50.0,0.24,1.74,24.29,1.0,0.03,0.05,1.67,23.82
2,50.0,0.29,1.88,29.14,1.0,0.03,0.06,2.0,24.544999999999998
